sub_str,num1,num2
WMCKHSLCYRYFPWKSZWKN,6,49
OEDAYOKUHGSFJVAEFJKW,5,52
YMPQSKOPGIILVSRJOVQA,2,96
SBLCAFRYZOVQWIQMYQUC,6,87
XBFLWTGIMWSRJEOQIHCS,10,97
LUZGOYLZNOGDOQXZEIZL,3,26
JLTRRTWYTMQYXWHATBXD,3,82
VYPSZGROSOBDWKCWWRCQ,7,22
HUCFTYRSVIKXXAUNJBNO,8,62
BZWDKQHXLBRDLVGTHZCI,8,65
JIDZUYWYTFJPAZSVDHYQ,6,66
ZYDLXXBVHZVPANEFTXKT,5,43
EMBMAUKEJVETTDKGBGDJ,2,55
LRRFUBCAFAFSAEEHFFZT,6,62
NPAQKFLQSIVWVEYFATIA,6,25
DVYHJOCZQKSWECWUIVTE,10,54
FZLUKORKUQHIHXSVGXNL,9,16
VUBGRONTMKEUHJEANSRB,4,63
ENTHQLQWQDBVNRSARHCC,3,29
VPUNWBIWAUSBLIBPOZWD,1,85
BTYBDGGUHKDGPIEJLAYT,7,41
RVNSFRGCWJHPJINKPMIA,1,64
SXGYWEFWASJJOLLDAVZE,4,15
FSQEZWUISCAUSDBKEMWC,1,41
ISOYSJMAHWPIHXJXOEES,8,39
CQFBPKEEOANNLCQQXZFL,2,76
LZVJHUFDZCEHSPCCTTAN,6,89
QMKVBFDIOOCDHAAGQKSG,5,63
MYNQQSQKIXRWQHMHUPBM,4,21
PBEIMXWLEAFXQJLPQWXT,6,51
CDEBYOISCQSTKBBAXCQU,8,45
JBQSMKDVHEMAWSXRFQKR,1,19
IMVIPHKYYDYBXRWRGQMO,4,61
CKOVWURYJHNKOYVNKCSC,7,24
FMJNQEPSXIJDHZGQRWVT,9,92
QCYLQHEKGZTRIPAPZPSW,5,18
LNZYHZOBUQOCYXOGIAGC,10,63
JWTLZLXBZRQHYSVDHCPP,3,12
ZSNZQIMSAPUHHFFRXJYS,9,10
TTKJSZCGJLHQSGVUWOFJ,8,11
DOUQMUVBVVVDBXCBZUMB,4,76
VBGEPBVAUOBIRZKWMPMD,3,68
XLHDXGTDOVJYLADKDBMV,6,61
DFTISWPFSKLLJOVZGVZI,2,96
RQWXCOPFVMXTFWJCYWFJ,3,61
ZFTMQADQCHGXZVWMMSTI,6,13
ZUFRTNALWMXLHITOWNZV,2,71
RATZFRYMMPFWDOUWUWGE,4,41
RMZEIHGCCXSZYXCELPVZ,6,98
MSPWYINKLYIJDTKWKYMT,8,34
YNDWIEOHRTQLZCQOTEXT,3,85
GZFWACBVFUPBHNESRFHS,4,75
UPXYTRPIBNPJCWFVMZOU,6,13
QUKJQXEDYVLYKOGVWQFJ,6,18
KLWYKQZUILZFXHAOEYMR,3,52
VBTUXODOPYUWPZPJAAQP,4,66
VXOLXXENXBWJOZNKFIWA,6,72
ZARNAOOJKFWZAWRYCCQZ,2,77
IYXQTZXNJSVCXKHBGSLB,9,38
JKZCBFESUBJBFOKWODSA,4,35
THZIHMLVVWOGKPBGCCQF,9,26
EJLKAYBALHFFOIPKWEGV,10,83
TYDGCCPJTSLABPXPDRNS,4,43
RVHVWLULSZZHMOQHLXML,7,90
BBUOEFOIASTEZUNVNCPJ,9,56
AGYNZELYFCMQGIRLFROG,9,53
UUBAZGVOJYHCDOJDMVDP,4,71
NVUQMTDCVAPSQGGOQPUQ,3,75
ZAHSSQGQFZBCHMSLNIIT,10,35
SGXDYLJPBPYFILUTXKWI,5,93
MMQSRABDRBDUZLRAJMCV,3,57
AUUPJZJATFHSBIMPIYNF,10,21
WEETOGXKEZRFDXVLRRYK,8,46
GLOMZSCEJUALEXKXAZIJ,9,45
PGLRRVZDOXPPLWVIGVKA,5,20
WNYXCHSJAFTKBEBABIDL,6,99
MMJLGPGXTFSGUSGDBMCT,10,43
WXAOAEDAPSMUUEKPZAFE,6,36
NNIPBSAGFLFWRIYPLPQL,2,51
OVZBWLMFJUXLKEFNFKRD,8,42
QPBYOOXBVBIBBJAJODFU,9,64
ZOUWUXGSTDSZQOMEORUS,4,75
KVNZNBVVUSTPDLJGJVHZ,2,82
PZNMQRGKVTDMDTPNYVGF,1,46
LMGXSPHKFHQRDPDSJJOU,7,51
OYVEEPOERPEPZBVPZNBV,6,64
VJBUIGFKCMPAYTXAQFXM,7,33
URSBKMAOHMATJCXAPYPE,8,21
KNHNTSYLRCSRFYNVTCRX,10,33
WTDNXCZDMAFSXVOWCKZM,4,98
RNHTIWZBWETRRHSSGRKO,2,40
BTPZDCPNTVRQZGSFOWTU,5,13
