期号,红球号码_1,红球号码_2,红球号码_3,红球号码_4,红球号码_5,红球号码_6,蓝球,快乐星期天,奖池奖金(元),一等奖_注数,一等奖_奖金,二等奖_注数,二等奖_奖金,总投注额(元),开奖日期
23012,03,04,07,22,26,30,06, ,0,0,0,0,0,0,2023-02-05
23011,06,07,16,17,21,22,04, ,1790457577,13,6177691,252,75942,344777252,2023-02-02
23010,04,05,13,18,27,29,12, ,1813355120,8,6879623,220,85437,335698884,2023-01-31
23009,03,04,19,23,30,32,06, ,1812003410,2,10000000,225,116912,370445322,2023-01-29
23008,05,13,18,20,26,28,06, ,1753087580,9,7109708,146,162563,367864780,2023-01-17
23007,05,06,09,22,25,31,03, ,1745872298,3,10000000,160,134413,357680590,2023-01-15
23006,02,10,12,14,24,26,05, ,1711353726,13,6407426,109,209822,341187596,2023-01-12
23005,02,06,08,13,14,19,16, ,1726038229,2,10000000,153,163847,331127174,2023-01-10
23004,01,07,15,16,20,25,16, ,1670832253,8,7480475,166,149426,362777504,2023-01-08
23003,05,08,18,25,30,32,06, ,1656261800,8,7009723,112,179439,332514694,2023-01-05
23002,02,06,10,16,18,22,13, ,1652047889,6,8064366,164,140138,317440920,2023-01-03
23001,09,16,18,22,28,32,02, ,1631485850,7,7738461,135,177492,349018800,2023-01-01
22150,01,07,11,12,22,28,05, ,1613770461,9,6598391,203,88580,322732470,2022-12-29
22149,02,22,26,29,32,33,14, ,1619210281,7,8014411,94,280596,305443962,2022-12-27
22148,02,15,16,17,21,31,14, ,1596182866,9,7166343,72,338491,328466772,2022-12-25
22147,02,03,07,13,20,30,10, ,1587565859,17,5619498,148,88948,308727648,2022-12-22
22146,06,07,13,18,26,31,06, ,1643604313,9,6501941,391,43214,319241960,2022-12-20
22145,03,21,25,30,31,33,11, ,1651431252,4,10000000,68,373743,366333090,2022-12-18
22144,07,20,22,23,31,32,05, ,1615187506,11,6900814,65,402095,400859910,2022-12-15
22143,07,08,13,29,30,33,03, ,1612687877,15,6243187,149,156441,397641696,2022-12-13
22142,01,03,13,16,21,27,03, ,1636406391,12,5674258,122,82900,440572602,2022-12-11
22141,05,12,13,17,20,27,14, ,1674155872,21,6324820,135,257603,415110854,2022-12-08
22140,08,09,18,19,20,27,15, ,1702647485,19,5889308,673,31383,397499610,2022-12-06
22139,06,07,09,16,17,19,14, ,1751181135,12,7006326,443,67934,421220444,2022-12-04
22138,02,14,19,21,25,28,11, ,1744972360,2,10000000,67,341021,382295872,2022-12-01
22137,08,21,23,27,28,33,01, ,1696427005,8,7627191,160,164199,380398430,2022-11-29
22136,08,10,14,15,18,22,08, ,1678628784,19,5761544,122,148251,412826960,2022-11-27
22135,09,11,13,24,28,32,06, ,1733838061,12,6964835,143,206101,402652460,2022-11-24
22134,01,05,14,17,24,31,14, ,1728998506,10,7386723,90,331489,404859714,2022-11-22
22133,05,08,16,17,21,25,12, ,1713363599,11,7308534,241,131711,457083562,2022-11-20
22132,01,03,18,26,32,33,04, ,1698530418,4,10000000,88,370814,439981994,2022-11-17
22131,03,05,10,13,19,29,06, ,1640635486,19,5876981,251,82981,425292626,2022-11-15
22130,02,08,15,17,26,28,12, ,1689813201,50,5228012,542,26293,446023212,2022-11-13
22129,10,12,14,22,24,27,07, ,1908461423,7,7828409,102,242633,430007836,2022-11-10
