排名,球员,球队,得分
1,卢卡-东契奇,独行侠,33.40
2,乔尔-恩比德,76人,33.00
3,达米安-利拉德,开拓者,32.50
4,扬尼斯-阿德托昆博,雄鹿,31.20
5,谢伊-吉尔杰斯-亚历山大,雷霆,31.10
6,杰森-塔特姆,凯尔特人,30.30
7,勒布朗-詹姆斯,湖人,29.50
8,多诺万-米切尔,骑士,27.40
9,贾-莫兰特,灰熊,27.10
10,特雷-杨,老鹰,26.70
11,杰伦-布朗,凯尔特人,26.50
12,达龙-福克斯,国王,25.50
13,朱利叶斯-兰德尔,尼克斯,25.40
14,劳里-马尔卡宁,爵士,25.20
15,德马尔-德罗赞,公牛,25.10
16,帕斯卡尔-西亚卡姆,猛龙,24.80
17,扎克-拉文,公牛,24.70
18,安东尼-爱德华兹,森林狼,24.60
19,尼古拉-约基奇,掘金,24.50
20,杰伦-布伦森,尼克斯,23.90
21,保罗-乔治,快船,23.70
22,克里斯塔普斯-波尔津吉斯,奇才,22.80
23,克莱-汤普森,勇士,22.10
23,詹姆斯-哈登,76人,22.10
25,达里厄斯-加兰,骑士,22.00
26,吉米-巴特勒,热火,21.90
27,杰伦-格林,火箭,21.70
28,凯尔登-约翰逊,马刺,21.60
28,博扬-波格丹诺维奇,活塞,21.60
30,凯尔-库兹马,奇才,21.40
31,巴姆-阿德巴约,热火,21.30
31,特里-罗齐尔,黄蜂,21.30
33,安芬尼-西蒙斯,开拓者,21.10
33,CJ-麦科勒姆,鹈鹕,21.10
35,德章泰-默里,老鹰,21.00
36,乔丹-克拉克森,爵士,20.80
36,乔丹-普尔,勇士,20.80
38,杰拉米-格兰特,开拓者,20.70
39,泰勒-希罗,热火,20.40
40,泰雷斯-哈利伯顿,步行者,20.30
41,贾马尔-默里,掘金,20.20
42,保罗-班切罗,魔术,20.00
43,朱-霍勒迪,雄鹿,19.90
44,RJ-巴雷特,尼克斯,19.60
45,弗雷德-范弗利特,猛龙,19.40
46,多曼塔斯-萨博尼斯,国王,18.90
47,弗朗茨-瓦格纳,魔术,18.80
48,小加里-特伦特,猛龙,18.30
48,德安德烈-艾顿,太阳,18.30
50,迈尔斯-特纳,步行者,18.10
